id,manufacturer,model,icao24,callsign,origin_country,altitude_m,velocity_ms,estimated_fuel_burn_kg_h,estimated_co2_kg_h,captured_at,loaded_at
275,Boeing,BOEING 737-8AS,4ca2ad,RYR4MK,Ireland,11277.6,246.26,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
276,Boeing,737NG 8AS/W,4d2211,RYR10VU,Malta,,7.72,2400,7584,2026-08-17 20:36:42,2026-08-17 20:37:37.750911
277,Airbus,A320-214,4ca2cb,EIN497,Ireland,10660.38,224.3,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
278,Airbus,A320-214,4ca2ca,EIN611,Ireland,10965.18,196.38,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
279,Boeing,BOEING 737-8AS,4ca2d5,RYR6XQ,Ireland,10363.2,225.34,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
280,Boeing,737NG 86N/W,49d1cd,TVP7361,Czech Republic,11582.4,228.24,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
281,Airbus,AIRBUS A320-232,405a47,EFW19YZ,United Kingdom,,0,2500,7900,2026-08-17 20:37:07,2026-08-17 20:37:37.750911
282,Airbus,AIRBUS A320-232,405a46,EFW9TT,United Kingdom,10972.8,210.81,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
283,Airbus,AIRBUS A320-232,405a48,BAW561L,United Kingdom,1722.12,123.71,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
284,Boeing,777 3F2ER,4ba948,THY3RU,Turkey,8435.34,218.09,7500,23700,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
285,Boeing,BOEING 737-8AS,4ca302,RYR4009,Ireland,5768.34,220.61,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
286,Boeing,BOEING 737-8AS,4ca301,RYR54ZU,Ireland,11277.6,236.56,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
287,Boeing,BOEING 737-8AS,4ca304,RYR6507,Ireland,3345.18,167.1,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
288,Boeing,BOEING 737-8AS,4ca303,RYR25FL,Ireland,10058.4,251.64,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
289,Boeing,Boeing 737NG 9GJER/W,49d369,TVS6P7,Czech Republic,,8.23,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
